info,people,score,title,words
1989 / 美国 / 剧情,354603人评价,9.0,死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台)[可播放],当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚,536993人评价,8.8,V字仇杀队 / V for Vendetta / V煞(港)  /  V怪客(台)[可播放],一张面具背后的理想与革命。
2009 / 美国 / 纪录片,217928人评价,9.3,海豚湾 / The Cove / 血色海湾(台)  /  海湾[可播放],海豚的微笑，是世界上最高明的伪装。
1974 / 美国 / 剧情 犯罪,241653人评价,9.1,教父2 / The Godfather: Part Ⅱ / 教父续集  /  教父II[可播放],优雅的孤独。
2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,340137人评价,9.0,指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔[可播放],承前启后的史诗篇章。
2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,380826人评价,8.9,指环王1：魔戒再现 / The Lord of the Rings: The Fellowship of the Ring / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者[可播放],传说的开始。
2001 / 美国 / 传记 剧情,378040人评价,8.9,美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台)[可播放],爱是一切逻辑和原由。
1994 / 台湾 美国 / 剧情 家庭,261798人评价,9.1,饮食男女 / 飲食男女 / Eat Drink Man Woman,人生不能像做菜，把所有的料都准备好了才下锅。
1995 / 日本 / 剧情 爱情,467903人评价,8.8,情书 / Love Letter / When I Close My Eyes  /  Letters of Love[可播放],暗恋的极致。
2013 / 韩国 / 剧情,248154人评价,9.1,素媛 / 소원 / 许愿  /  希望：为爱重生(台),受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
1994 / 美国 / 剧情 动画 冒险 歌舞 家庭,359250人评价,8.9,狮子王 / The Lion King / 狮子王3D[可播放],动物版《哈姆雷特》。
2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐,249471人评价,9.1,钢琴家 / The Pianist / 战地琴声(台)  /  战地琴人[可播放],音乐能化解仇恨。
1987 / 英国 意大利 中国大陆 法国 美国 / 剧情 传记 历史,253896人评价,9.1,末代皇帝 / The Last Emperor / 末代皇帝溥仪(港)[可播放],“不要跟我比惨，我比你更惨”再适合这部电影不过了。
1984 / 意大利 美国 / 犯罪 剧情,214704人评价,9.1,美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),往事如烟，无处祭奠。
1997 / 伊朗 / 剧情 家庭 儿童,180927人评价,9.2,小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋[可播放],奔跑的孩子是天使。
1995 / 美国 / 剧情 犯罪 悬疑 惊悚,520321人评价,8.8,七宗罪 / Se7en / 火线追缉令(台)  /  7宗罪[可播放],警察抓小偷，老鼠玩死猫。
2006 / 日本 / 剧情 歌舞,375641人评价,8.9,被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台)[可播放],以戏谑来戏谑戏谑。
2008 / 美国 / 剧情 爱情 奇幻,485443人评价,8.8,本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台)[可播放],在时间之河里感受溺水之苦。
2006 / 美国 英国 / 剧情 悬疑 惊悚,425506人评价,8.8,致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港)[可播放],孪生蝙蝠侠大战克隆金刚狼。
2000 / 意大利 美国 / 剧情 战争 情色,452754人评价,8.8,西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜[可播放],美丽无罪。
1999 / 美国 澳大利亚 / 动作 科幻,358062人评价,8.9,黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台)[可播放],视觉革命。
2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部,792553人评价,8.7,让子弹飞 / 让子弹飞一会儿  /  火烧云[可播放],你给我翻译翻译，神马叫做TMD的惊喜。
1998 / 美国 / 剧情 历史 战争,306135人评价,8.9,拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台)[可播放],美利坚精神输出大片No1.
2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,483516人评价,8.7,看不见的客人 / Contratiempo / 佈局(台)  /  死无对证(港)[可播放],你以为你以为的就是你以为的。
2001 / 法国 德国 / 喜剧 爱情,578493人评价,8.7,天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉[可播放],法式小清新。 
1965 / 美国 / 剧情 传记 爱情 歌舞,285157人评价,8.9,音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台)[可播放],用音乐化解仇恨，让歌声串起美好。
1994 / 美国 / 剧情 喜剧 犯罪,417484人评价,8.8,低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港)[可播放],故事的高级讲法。
1995 / 美国 / 动作 传记 剧情 历史 战争,346829人评价,8.8,勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台)[可播放],史诗大片的典范。
1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻,140372人评价,9.3,大闹天宫 / 大闹天宫 上下集  /  The Monkey King[可播放],经典之作，历久弥新。
1990 / 美国 / 剧情 奇幻 爱情,588666人评价,8.7,剪刀手爱德华 / Edward Scissorhands / 幻海奇缘(港)  /  剪刀手爱德华[可播放],浪漫忧郁的成人童话。
1991 / 美国 / 剧情 犯罪 惊悚,425869人评价,8.8,沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,安东尼·霍普金斯的顶级表演。
2001 / 美国 英国 / 奇幻 冒险,360961人评价,8.8,哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台) [可播放],童话世界的开端。
2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,468026人评价,8.7,蝴蝶效应 / The Butterfly Effect / 蝴蝶效应[可播放],人的命运被自己瞬间的抉择改变。
1997 / 香港 日本 韩国 / 剧情 爱情 同性,308375人评价,8.9,春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together,爱情纠缠，男女一致。
1997 / 美国 / 剧情,340084人评价,8.8,心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手[可播放],人生中应该拥有这样的一段豁然开朗。
2008 / 日本 / 剧情,364867人评价,8.8,入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),死可能是一道门，逝去并不是终结，而是超越，走向下一程。
2002 / 美国 加拿大 / 传记 犯罪 剧情,308976人评价,8.8,猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  神鬼交锋(台)[可播放],骗子大师和执著警探的你追我跑故事。 
2014 / 美国 德国 英国 / 剧情 喜剧 冒险,409651人评价,8.8,布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台)[可播放],小清新的故事里注入了大历史的情怀。
2010 / 美国 / 剧情 悬疑 惊悚,449772人评价,8.7,禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台)[可播放],昔日翩翩少年，今日大腹便便。
2009 / 澳大利亚 / 剧情 动画,264536人评价,8.9,玛丽和马克思 / Mary and Max / 巧克力情缘(台)  /  同是天涯寂寞客[可播放],你是我最好的朋友，你是我唯一的朋友 。
1994 / 中国大陆 香港 / 剧情,332758人评价,8.8,阳光灿烂的日子 / In the Heat of the Sun,一场华丽的意淫。
1997 / 日本 / 动画 奇幻 冒险,285352人评价,8.8,幽灵公主 / もののけ姫 / 魔法公主  /  幽灵少女,人与自然的战争史诗。
1999 / 美国 / 剧情 悬疑 惊悚,284505人评价,8.8,第六感 / The Sixth Sense / 灵异第六感  /  鬼眼[可播放],深入内心的恐怖，出人意料的结局。
1994 / 香港 / 剧情 爱情,405580人评价,8.7,重庆森林 / 重慶森林 / Chungking Express,寂寞没有期限。
2012 / 丹麦 瑞典 / 剧情,168204人评价,9.1,狩猎 / Jagten / 谎言的烙印(台)  /  诬网(港)[可播放],人言可畏。
